,n_cells
AASS,497105
PLEKHG6,42556
SS18L2,809535
MPND,269329
MGST1,311639
CRY1,1653611
PGLYRP1,10434
NFIX,805943
ST3GAL1,5972492
MMP25,383771
IL32,2013603
PKD1,783861
MAPK8IP2,14464
MED24,1299512
RHOBTB2,297773
HEATR5B,3750084
SEC62,4012585
RPS20,4763003
CSDE1,6901664
UBE3C,5918442
REV3L,4387147
TENM1,585356
PAX7,11627
MASP2,84261
IYD,1948
FAM76A,1039969
TRAF3IP3,5761935
POMT2,347154
VTA1,3500789
MLXIPL,10783
BAZ1B,5047144
RANBP9,4823269
ETV7,1679587
SPRTN,804392
METTL13,930471
DYRK4,337276
ZNF207,7195100
UQCRC1,1142104
STARD3NL,1396519
CD9,346773
HHATL,2956
NCAPD2,1501179
IFFO1,1148137
GIPR,210495
PHF7,496785
SEMA3G,13017
NISCH,2047320
STAB1,1420552
FUZ,185968
SLC6A13,61964
IDS,3042858
PRSS3,22798
ZNF200,1026802
CD4,2849334
LRRC23,833465
BTK,1575123
HFE,307662
SCMH1,2944943
FYN,8402520
HIVEP2,8154446
FMO1,7993
ELOA,1511063
LYPLA2,455164
CLCN6,2129568
MRC2,245924
NME1-NME2,32447
SLC6A7,4019
TSPAN9,194972
BTBD7,4661026
APBA3,447850
MKS1,187389
ABHD5,945921
ANOS1,132449
AKAP8L,3196742
MBTD1,4329896
UTP18,1907933
RNF216,6555762
TTC19,2797178
PTBP1,2197828
DPF1,4788
SYT7,3900
LARS2,2688990
PIK3C2A,3814403
PLAUR,1168160
ANLN,25370
WIZ,678155
RABGAP1,5077562
DCN,2016
QPCTL,526090
PPP5C,1132564
CEP68,1817519
MAP4K3,3464582
ZBTB32,130912
TYROBP,2997477
LDAF1,494056
GABRA3,30023
BRCA1,1363373
ERCC1,888302
CD22,730351
SEMA3B,30858
MBTPS2,983264
PRICKLE3,269561
LTF,3984
EXTL3,993319
NR1H4,14646
ELOVL5,5185259
ALOX5,2706255
KDM5D,1445121
CALCOCO1,1845410
UBR7,845720
MAP4K5,3693463
EHD3,295504
PSMC4,849153
MAN2B2,1913835
SLC7A14,11060
CLDN11,37941
SLC25A39,664838
MVP,4095593
NUB1,5715827
PGM3,1359550
RWDD2A,117018
CLK1,3869001
POLR3B,1213315
ANGEL1,1111344
RNF14,1479663
DNASE1L1,790833
DDX11,664012
HEBP1,568634
GPRC5A,12032
MAMLD1,331374
CD6,4864857
TACC3,2225111
UFL1,2590516
POLA2,1457389
ZC3H3,1835756
CAPN1,1545747
ACP3,737995
MDH1,1290008
SLC30A9,3804802
MTMR11,45765
COX15,1453132
CCDC88C,7185020
YAF2,3751687
ZMYND11,3935960
WAS,2793321
DPEP1,4327
BID,2127293
MATR3,7140081
NPC1L1,6249
XYLT2,883185
RGPD5,8649
STMN4,7010
NUDCD3,4358261
ISL1,356
CHDH,16583
IL20RA,3621
CLCA1,3375
CLCA4,4670
GLT8D1,507333
ATP2C1,4879813
IGF1,62979
SLC38A5,554081
RALBP1,2476841
RUFY3,3575415
CNTN1,27730
SLC11A1,729438
WWTR1,421691
AGPS,3852419
ZNF285CP,211
STEEP1,623698
ATP1A2,1285
TTC27,3060316
ZNF582,258099
VSIG2,4962
PHLDB1,113925
MARCO,88349
CYP24A1,7373
PRDM11,965269
SYT13,1565
CD74,5669046
HGF,366279
ZRANB1,2473161
NCDN,391323
ADGRA2,52951
CCT8L1P,726
ZFP64,1207846
MNAT1,3804923
SAMD4A,3098449
RUNX3,5220353
MRE11,2739187
PLEKHB1,254068
SERPINB1,2764752
CYP3A43,13720
SLC7A9,213257
SPAST,2892498
NRXN3,153289
OSBPL5,2064106
AQR,4663064
CPS1,60090
C8B,6544
FHL1,321958
RTF2,2750528
GABRA1,7416
NLRP2,387011
SLC45A4,2437073
RNF10,3446997
ZNF839,899657
ZDHHC6,1881093
GRAMD1B,2553234
RNH1,1338225
NDUFS1,2905305
RB1CC1,5261947
ERP44,4714570
ALAS1,1332435
BIRC3,4573437
AKAP11,4417105
GLRX2,453549
SNAPC1,745589
DERA,2631013
STRAP,1734005
ABCC2,295764
DEF6,3630152
PLEKHO1,3895701
GCLM,1060821
UBR2,6861550
EHD2,15021
DEPDC1,5641
CCDC28A,898230
RRAGD,473073
HSF2,792890
PHF20,4880120
HSD17B6,69591
NR1H3,850932
TYMP,4062291
NCAPH2,479190
TOMM34,595905
SEC63,4470058
KPNA6,3986589
VIM,5500143
RTEL1-TNFRSF6B,6496
FAS,2940527
RNASET2,3988458
CD44,9367246
KCNG1,55073
AGPAT4,2351207
SLAMF7,3292097
BTN3A1,5595578
MIPEP,1529277
PRKCH,8091086
INSRR,20093
IFNGR1,2905438
B4GALT7,459647
SH2D2A,1327736
VRK2,4808534
TNFRSF1B,4288189
VEZT,3178688
POU2F2,4666352
BRD9,1878973
SNX1,4450472
TBPL1,1451261
BMAL2,1549841
BCLAF1,5914928
SLC39A9,2547864
ANK1,375830
IBSP,444
TFB1M,2423188
RABEP1,5525625
HMGB3,36364
NUP160,4071291
BAK1,646415
MUSK,33797
IKZF2,2247841
GRN,2382095
FAM13B,5673075
ARHGAP31,3048223
CENPQ,432557
SARS1,2511719
RANBP3,3146316
ARID4A,4809221
EIPR1,2776532
PNPLA6,1931664
IFT88,1542951
ALG1,547056
ZCCHC8,2739986
ABCF2,837390
CHPF2,697221
LRRC7,381638
FUT8,5278768
UBA6,4188265
GAB2,4292230
ATP6V0A1,2259226
PIAS1,8238339
SLC4A7,4875558
APBA2,4065014
MAP2K3,1336467
CLXN,1742
TMSB10,6635711
ASTE1,721703
RNF19A,6411614
PEX3,2084463
GABARAPL2,1614041
MYOC,2720
SH3YL1,1513040
FAM136A,708328
VCL,2332670
DEPDC1B,86891
DAPK2,709030
NSMAF,3335317
ADSS2,3858113
STAP1,1486714
TIMP2,2104248
RFC1,3459387
TBC1D23,2825403
CUL3,7036232
MYOM2,93378
OTC,11720
CYP46A1,43295
ZZZ3,5549033
SLC18A1,62919
USP2,5307
CASR,16906
TUBG2,357446
RPL26L1,171428
FLT4,106414
NSUN2,2925534
FBXO42,3872002
MFAP3,2547745
MRI1,660981
METTL1,149014
HOXC8,292
AGA,711979
PI4K2B,5258852
BOD1L1,6060713
MAT2B,3040307
TLL1,14952
EDC4,963012
TRIO,3894867
VCAN,1428360
CLEC16A,5362978
MSR1,1205090
CDH1,136372
MTREX,4374418
DNAH5,35477
ZFYVE16,3784706
RIPOR1,1000322
C6,10945
RAI14,139295
SOX30,22955
PNKP,1689422
BEST2,1241
PHLPP2,1204620
SPDL1,446916
STAU2,5153277
SLC66A1,228560
CTNS,955083
RTN4R,32947
PHF23,841313
CDH10,7791
INPP4A,7014875
RAB27B,631315
PSMA4,2426732
MYO16,392457
LSG1,2190107
PARP3,185046
TNC,13574
THAP3,358891
RIPOR3,152839
TDP1,2087967
AIFM2,548823
C2orf83,2033
SPATA7,318489
MED17,2116353
RETSAT,466223
CAPG,1532343
AP2S1,1004014
USH2A,79772
ZPBP,34399
TG,724134
ADAM28,2435198
BARX2,4445
DCUN1D1,2150775
JADE2,4520271
LCP2,7598253
TRIT1,1448944
ADRB1,13557
CUL7,503477
CTNNA1,3448055
PHKA2,1866276
CNTLN,1930607
EPHA3,25974
HSPA5,3158346
DSG2,56390
GEMIN8,723115
OFD1,4124319
GPM6B,93575
PREX2,22225
WDR37,4313399
YTHDC2,3893654
CTPS2,855098
ATP6V1H,4548742
POLR2B,3994316
ATOSA,5418451
ARAP2,7238144
TPR,6143791
CP,64203
KATNIP,2481343
DTNBP1,5029789
XK,38019
ANO2,32255
C12orf4,1896850
SCML1,1525640
WWC3,3226769
ARHGAP6,458616
FAM184B,215194
MAP4,6300341
GOPC,3179587
ROS1,7223
USP28,2292880
HDAC9,1833853
TSPAN17,676221
NOP16,254234
CC2D2A,211439
RRM2B,1400410
ZNF800,4321462
TNFRSF17,8843
SNX29,6361369
LMO3,2333
MRPS10,874652
GUCA1A,953
RSF1,7265507
VPS13D,6571912
CELF2,9598629
FAM120A,5145214
R3HDM1,4934912
COL9A2,54894
KITLG,111768
ERCC8,1868470
ADAMTS6,1088017
H6PD,1970299
VAMP3,1294141
PER3,615292
UTS2,30382
TNFRSF9,178086
EPN3,885
LTBP1,93261
RCN1,650768
ELN,10842
RFC2,796989
ARID1B,9686914
CLPTM1L,1300430
NEDD4L,1120946
FOXP3,242000
PPP1R3F,953258
HEXB,2102061
PTCD2,807608
NEXMIF,374214
JKAMP,1431489
DKK3,98841
ARHGEF5,52279
NFE2L3,1498315
MCUR1,755336
LIMA1,1009013
LETMD1,1704280
SLC4A8,1205997
LAMC3,94339
PTGER3,52675
TNIP3,652326
MAPK9,1910358
COL23A1,697437
BCAR1,3631
FHIP1B,1091927
HERPUD1,2030236
HOMER3,113556
RAD51,73351
POLQ,139819
PIK3CB,4678278
CYBA,4122421
THOC3,1883052
HEBP2,1281117
MPHOSPH9,2782873
PLEKHA5,1327946
PRSS8,2033
SIKE1,1437943
RRP12,767584
FNIP2,2826288
MSMO1,1010901
TTC17,8361124
ALX4,7570
FSTL4,175050
FOXN3,9902771
METTL24,148852
AKR7A2,248014
MRTO4,575211
NNAT,15192
USE1,525784
MCF2L2,1304253
NRIP2,105379
LAMA3,146358
AP5M1,1947125
ANAPC4,2832329
KCNQ1,3489787
TRAPPC3,1105684
THRAP3,6375277
PHPT1,463533
ENTPD2,336
LY75,4404674
ARID4B,9015490
OPN3,1353131
SDCCAG8,4977579
PTPRN,2481
HHAT,1408438
KIF1B,3279473
FOXC1,82247
TBC1D22A,9516303
SYNE2,9143053
PLEKHH1,111605
ATP9A,317172
SPO11,381
CHRDL2,4003
FAM168A,4426643
RELT,2013960
GALC,2140011
NOP58,3817794
SZRD1,3320488
KCNH2,23512
CUL1,5635682
FAM114A2,1137601
CYFIP2,6601590
TAB2,7872577
GINM1,1439035
EIF2AK2,7418411
USP36,3352724
KMT2C,8944014
MCOLN3,129634
CCDC85A,16879
PUM2,7748682
MRPL43,467485
ITIH4,853249
ITIH1,12464
HPF1,628563
ZFR,5924769
ZNF280C,819440
NPFFR2,17723
PHF21B,30733
TRAF1,3639552
RC3H2,4505466
IL17RB,34051
TRAF3IP2,481950
GYG2,9367
DCBLD2,338864
SERPINB3,262
SOAT1,3571382
PKP2,39267
MSH4,291719
F7,3734
GDI2,5337776
PRDM1,2173473
ATG5,4396634
TMCC3,1069166
PITHD1,957912
MTA3,2510078
USP13,1043090
ATP11B,6454896
LAMC2,19736
CDK14,2612589
SEC61A1,2557236
PPP1R12A,7671035
RASGRF1,191297
CAMK2B,22554
CROCC,1301822
POLR3E,1847439
ATP2B4,5426873
ZC3H11A,5263786
RIOK2,1174403
YIPF1,1298115
NDC1,1490858
DGKG,324938
FLYWCH1,1159191
UNKL,1789476
TBXAS1,2603199
PARP12,6386112
ALDH18A1,842474
TARBP1,2046969
GATB,1080337
MXD1,3037865
CDK17,6866444
DNAJC25,712059
SLC2A3,2421050
PSD,65879
CTDP1,2396098
YBX3,1148072
STYK1,98061
WNK1,7927730
RPS17P5,476
CCAR1,4485352
OGFR,2330729
GNA15,1128956
CREB3L3,7418
PIGV,367268
PTPRU,43630
SNRNP40,1851206
RIMBP2,48497
COL11A1,21357
QSER1,2666202
MPC1,1706790
ACAA1,1163699
BCAT1,872491
HDAC7,2456178
LZTS1,57055
PRDM6,8645
WNT8A,2149
SPAG4,8774
NCKAP1,455669
MRPS35,1599166
GUCY1B1,172334
SFSWAP,5456497
TNK2,4977299
MON2,6868578
CDH3,70593
ARSF,13182
GPBP1,8051527
DGAT2,82268
ZNF112,61996
CS,2243944
LTK,51189
MRPS24,331981
ELMO2,2783452
WAPL,5436080
VMP1,6481575
APPBP2,4239573
POLD1,492693
SEZ6,37576
EIF4B,4649334
SLC6A16,827269
BICRA,3710965
SPHK2,920525
RPL18,3112152
CA11,297519
ISOC2,188822
U2AF2,2435946
EPN1,1695638
MED29,1117396
AHRR,1650039
ZNF275,683106
MTMR1,3430784
GPC1,14395
ADCK1,811143
HAGH,1756155
RNF4,3406761
CASP8,6536244
LIMCH1,197920
INTS13,1253164
TM7SF3,1953140
DLX3,627
SPA17,60334
TSPAN32,673072
CCN5,2097
DMRT3,531
ST3GAL6,1101728
ATP2C2,19875
NGFR,16236
CDON,115233
TAF2,3684152
HIPK2,5963019
TNPO3,4711487
RFXANK,414911
TMEM161A,302639
LPAR2,295863
CTSA,1365294
SUGP2,2839913
SLC12A2,1656739
SNX24,1876259
EYA2,73676
CNN2,1808139
ABCA7,1489093
SNCAIP,8561
DDX20,748614
BTBD1,3288994
FAR2,2713787
BCAS1,58639
POU1F1,1528
CHI3L2,293935
SBNO2,3883023
PMS1,2325684
HMG20B,566140
CALCRL,184577
TAF11,1564140
ANKS1A,4342107
AP3D1,3356495
ZNF76,2024278
SLC9A3R2,27174
NTHL1,93701
BLTP3A,2406083
GNAI3,3904330
IPO5,1862546
OAT,399254
WDR3,1269168
PKN2,6166542
WDR18,254934
TRAM2,1049852
NTN1,146936
GLP2R,4356
MCM10,40390
DGKA,5145327
ERBB3,103052
ROPN1,874
ANKRD44,10778329
KARS1,2943653
ADAT1,1103211
PDIA5,2343566
TBC1D22B,2031522
NDUFB4,951408
SPEN,6249452
MYLK,86456
ZC3H15,2548388
MAP2K4,4855061
PACC1,1581839
SNAP91,17075
SLK,3754444
CYB5R4,3832956
COL17A1,5762
GSTO2,180717
SEC61A2,668428
PRKCQ,6067538
TLE2,261250
ASB1,781042
FAM107B,7510641
ME1,1355320
TBC1D1,6751958
CDK13,7350261
MTHFD2,2309557
SLC9A7,1324991
FOXJ2,1008774
YBX1,4352177
PDE4A,859468
PPP2R5A,4325131
CTNNA2,104159
ELAVL1,2290161
TIE1,21248
DIP2B,7416335
SMARCD1,1442496
KDM4A,2327300
NFYC,3638358
ZMYND12,45683
SLC9A3,109797
NGEF,15468
ASPM,50279
CD84,3640179
ELOVL1,766450
SPI1,2814138
POLR1H,272095
MPPED2,157753
CLDN18,17914
ZBTB11,2857063
ATXN3,3645175
GOLGA5,1983144
FGFR2,42316
LRRC40,1689419
ISOC1,562097
EML1,31340
TRMT11,3151840
THUMPD1,2188733
MSANTD3,561049
KIF26A,1908
ATG2B,2650305
ARFGEF1,7152825
ACSM2B,1855
ZFAT,2188867
MTFR1,1868832
STAG3,626356
FECH,876419
MYO9A,5101002
DDX3Y,1388988
PFKP,2522429
IDI1,1573719
SP100,10312944
KLF6,5329368
PLPP1,1367466
NEO1,1324851
TRAM1,4392804
PHKA1,44350
TNFRSF1A,2168230
CACNB1,215600
EVI5,2847731
STOML1,228407
PKM,4037993
DHX29,2298190
DNTTIP2,2188482
METTL22,1172697
TP53BP1,2357633
TRO,17284
RRP15,1196163
RHOA,5451833
DHX8,2964863
PMS2P4,29653
PRKCZ,1355421
ZFY,1089566
IARS2,2026030
SYT1,157896
NAV3,80206
IDH3G,637123
ROGDI,112500
PDZD4,74114
ATP2B3,1572
ROCK1,7634950
CBFB,4732597
PDK3,3675092
HYAL2,77192
HDAC4,6962731
RASSF1,1611239
FGFR3,1031
IFI35,2593897
HEATR6,1209940
COASY,603895
PLEKHH3,10229
MEF2A,7201504
OTUD5,2800444
TFE3,1164121
TBC1D25,919128
ACSL4,4540198
INPP5A,2946715
GPKOW,515892
GRIPAP1,2949678
FTSJ1,513201
PRR11,333617
REEP1,28312
ATP11A,4437858
POLR1A,2086842
LAPTM4A,1644947
TTC7A,4215016
IP6K2,1788837
STON1-GTF2A1L,22018
SRBD1,4848926
KIF2A,6329824
RASGRP2,2062012
PSME4,4847096
IFT80,2115993
SIRT2,1390269
ERLEC1,1746574
PPP2R5B,312862
PYGM,332157
PAGE1,374
PITX1,7781
TRPC7,8863
MAST4,2287698
ADGRF5,8745
SDK2,847106
ADAM7,5484
NUP133,2265254
NUCKS1,4673670
VPS35,3370274
DNAJA2,1783121
BCL3,1607450
KCNAB2,4994187
ABCC9,15040
GAL,339
CLEC2D,8513293
FUNDC1,295703
MAOB,11687
RORA,6705117
DRD4,33114
TGFBR3,3268865
PLA2G10,19391
HES2,4436
ATP1B3,2420851
NEDD4,845432
PIGB,1914728
MAPK6,2487640
GNB5,2467357
RAB27A,4356520
HDHD5,1079080
UFD1,1620716
LRP6,519947
GUCY2C,16771
SCT,5888
PHRF1,2630839
ELP1,1904178
NUCB2,2657751
PFN2,106099
PTPN3,12598
SPTB,27824
DAPP1,3696725
FGF10,3051
SLC44A1,3172572
TMEM260,3685140
SMG6,5683213
EXOC5,3016667
CLTCL1,215552
FGF22,21673
FSTL3,30152
DGCR2,4141775
RNF126,874070
MNT,1272731
ZXDC,4372853
JMJD6,1035007
POLB,1374168
ST6GALNAC1,103674
WIPI1,979934
FRMPD1,17661
GBA2,1212921
NDST1,697864
ASNS,475755
AP3M2,1820332
CNGB1,31396
ST6GALNAC2,221831
CHAT,2483
PABPC1,9280255
TESK2,2260517
CFAP20,361754
CSNK2A2,2243120
PTPN21,20220
EIF2B3,2337930
CAMK2A,10685
TCOF1,2045799
CDC42,5427689
OSBPL3,4228350
EPHA8,2889
SLC12A3,116020
RAD18,1369303
ATP2B1,5233555
TRPM5,74864
NCK2,6578153
MAP4K4,6840383
MGAT4A,6943567
RPL31,5508272
WDR1,4763634
SNX13,4834752
MS4A12,6257
ARHGAP10,3457895
RPS6KA2,2938290
ING3,1478836
VASH1,745652
LMCD1,51726
BUD23,874280
SEL1L,3522431
TRIP13,35129
ATP6AP1,1076180
TCF3,1697832
TRIB2,987739
DAZAP1,2969662
MBD3,1058606
HLTF,1005762
FAM50A,832662
FAM3A,360653
CPSF1,1038730
MYO3B,189814
CYBRD1,320667
CDH19,4926
PDCD2,1352750
SLC6A15,6597
RDH11,1215831
PRKACA,1254744
ADGRL1,778496
SPP2,2250
ACTN1,2742136
ZFYVE26,3279015
RPS6KA6,65971
EPN2,520632
PTPN18,2111599
LIMS2,34776
ASIC4,4468
SPEG,101447
LNX1,46405
ALDH3A2,1286222
TFRC,2417301
SREBF1,1265894
TRPC5,56980
AFF4,5246943
UBE2D1,2434112
PALS1,1937614
RHOBTB1,147680
SMC1A,4921925
HSD17B10,389792
MARK2,4558806
HMMR,58293
CHFR,4142881
TRHDE,63062
P4HA2,173764
FCGR2B,901776
NFATC3,7501604
TRNT1,2346046
ACADVL,1223459
STK10,7850161
FBXW11,5554152
ACAP1,3325140
CRMP1,28766
EVC,161942
DERL2,990296
SIDT1,5378930
NDE1,3922935
IRAG1,48615
TMEM38A,85447
AP1M1,1859311
PVR,457496
XRCC1,1165005
SCARB1,523171
CYP2W1,1101
MCM2,192829
MOV10L1,23461
PANX2,22249
SELENOO,2194400
TP63,172744
ALPK1,5250108
LLGL2,1022080
PDE8A,4972208
CLCN4,305180
NLE1,210469
SDHA,3420034
SMARCE1,2736253
FNDC8,4402
GSDMB,1757339
KDM5A,6706925
ADAM11,17026
PPP2R3A,412020
FERMT2,94208
ABCB11,27805
DHRS9,731095
CD5L,71506
PTGS2,130188
IGF2BP2,1197341
MAP3K13,973171
ST6GAL1,8094717
TBX21,892862
VDAC1P1,6419
FRY,2411529
PICALM,8083815
NSF,2739786
GLI2,21578
CLASP1,7261678
MRPS34,504626
NOTCH3,43543
CLNS1A,3256769
PPP2R2C,22678
TEAD2,30634
EED,2264228
CDHR2,198479
SNCB,697
TSG101,3386096
NCBP3,2607648
ATP2A3,2969224
CA12,105149
MGLL,2203903
NTN4,188097
BCS1L,273229
NUAK1,64779
DPP8,4175562
SLC24A1,576207
ZNF532,1602764
SCARF1,404213
LMAN1,2020203
HACD3,1457453
IPCEF1,5230732
ZZEF1,5445338
NOX3,8989
ENO1,4610099
SLC12A1,16005
MYDGF,1294254
ANO8,299017
TUBE1,668256
ARHGEF10L,2288044
TXK,4700464
WSCD2,21785
KCNQ2,16354
TACR2,9159
ACTR6,1317281
TIPIN,493188
SRI,1363618
EIF4G3,5459910
NUP37,980599
SEMA3A,334255
GTSE1,32655
SEMA3C,771466
TTC38,1022155
ACAT1,1022584
GRAMD4,1201443
CELSR1,548619
WNT8B,3948
ZNF638,7657358
SLC25A40,1700392
TIMM21,493906
ADD2,556797
RASAL2,1186709
VPS9D1,1220463
ZNF37A,3194045
MARK3,6469488
SLC25A3,2269501
FNDC3B,5753622
FOSL2,1450025
CACNG5,10604
CACNG4,9358
FRYL,8182430
TMEM131,7249361
FSCN1,232405
ACTB,7873051
MOCOS,47100
PLD1,1475052
ATP12A,5900
WDR62,123572
DLG1,6539633
RAB7A,7182900
BCAP29,1355099
SEC31B,1316882
SART3,2653036
ARHGAP15,10710132
TUBA3D,7825
PAX2,6245
EXOSC7,1539229
KIFAP3,2831132
MKRN2,1157382
MCM6,1191288
REXO2,990931
RBM7,1065609
RBMS2,854007
BAZ2A,5445831
PTPN23,1608421
MLH1,1838686
UNG,331959
FMO4,512316
KLHL20,3489646
RGS11,867
SLC46A1,305530
PLXNA2,535909
SPAG5,171720
ANKRD13A,3584539
TPD52,2634452
ACACB,1161186
TRAF4,146758
PAG1,7565294
GPATCH1,1049613
ICAM3,585197
NT5C2,5831691
MCAM,6933
GPC4,45319
MBNL3,2924820
CAMSAP3,15168
RAP1GAP,30671
XAB2,667406
ARHGEF1,5955427
STXBP2,1785013
MAP2K7,1527617
NMRK2,3176
DGKD,4625074
CTTNBP2,253584
ACTL6B,6746
RARB,97783
TOP2B,5395254
TM9SF3,4928203
NFKB2,1995643
UBE2T,98783
PPP1R12B,4241543
DNAJC10,2916497
GTF3C1,2295230
IL4R,3721267
USP33,5290620
PAK3,140564
CAPN6,659
DCX,3877
SNRPA,1401695
SPAG6,304127
EXOSC5,303431
DYNC1I2,3446382
APBB1IP,7450369
LRCH4,1265460
FAM76B,1798207
SIRT6,411806
TYR,6973
POLD3,1865097
ACTN2,127533
CAPZB,7447216
GPR137B,2831766
NAALAD2,20748
JADE1,2615585
SLC25A43,1321366
UBE2A,1509736
FGFR1,325019
FKBP6,2783
SMC1B,80289
FBLN1,15862
ITGA8,39413
CST7,644236
MAP2,140712
PIAS2,3392212
AMPH,72397
ARAF,1163552
MCCC1,2599212
LAMP3,2498449
FAP,55334
NEBL,122779
ACER3,2998632
UBE2K,6222511
PIK3C3,4502448
N4BP2,2529095
TIGAR,1999633
TULP3,1162442
SYNJ2,1512613
ADCY2,38399
PPP2R5C,9048187
PMS2P1,215143
RBFOX1,305631
GNB1,7435157
HOXA9,11659
EDN1,221045
MLLT10,5677961
ZCWPW1,694230
ADCYAP1R1,1293
FGF20,1809
P2RY10,2740535
ITM2A,540913
NRDC,6088400
VDAC3,1256219
PCM1,7366638
TNRC6C,5912218
CBFA2T2,5674706
BRINP1,17050
ITCH,6389705
PKD2L2,185608
TP53INP2,152022
SDF4,1664220
MYH7B,53192
BPIFB2,666
TP73,19570
TOLLIP,1012312
UBE2D4,572810
CLUL1,13603
RUNX1T1,7118
CDH17,10672
THOC1,2992312
FKBP7,41137
OSBPL6,254309
SLC1A3,1441842
XRCC5,6783886
LXN,478593
SP140,6367304
MKNK1,3189084
TNS1,1195327
REXO1,1464842
SAR1A,3205004
CDC14A,5837487
RAPGEF3,17073
CEACAM1,553920
SENP1,2381206
DUSP13,2227
CIC,1742009
LIPE,448939
FDFT1,2715091
PAFAH1B3,157967
OPHN1,793843
AFM,2762
KIF22,1112214
SCGN,3169
CARMIL1,3092063
PGM1,1037631
DDX1,2448485
DNM2,6288520
EPB41L2,2363846
RIMS1,36270
MOXD1,139486
STX7,4757176
RABL2B,897181
KEAP1,825460
DDX43,130366
PTPRH,13204
DCT,40022
SLC35C2,2386369
CRYBG3,2023120
EPHA6,71635
SCTR,8995
RFX3,7064693
RIF1,5704673
RAB21,3644310
SLC4A4,597920
SMARCA2,7140737
RDH8,1552
SESN1,2828341
MID2,755395
DNAAF6,1840
COL5A3,120872
SRCAP,4207291
PUM3,3803692
CPB2,11132
CHRNA3,4952
